APCD,BSAS,CaseMix,RVRS Death,RVRS Birth,MATRIS,PMP,Count
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,11438
0,0,0,0,0,1,0,2207
0,0,0,0,0,1,1,68
0,0,0,0,1,0,0,218
0,0,0,0,1,0,1,18
0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,452
0,0,0,1,0,0,1,15
0,0,0,1,0,1,0,62
0,0,0,1,0,1,1,5
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,0
0,0,0,1,1,1,0,0
0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,4981
0,0,1,0,0,0,1,456
0,0,1,0,0,1,0,434
0,0,1,0,0,1,1,32
0,0,1,0,1,0,0,14
0,0,1,0,1,0,1,2
0,0,1,0,1,1,0,0
0,0,1,0,1,1,1,0
0,0,1,1,0,0,0,53
0,0,1,1,0,0,1,7
0,0,1,1,0,1,0,22
0,0,1,1,0,1,1,3
0,0,1,1,1,0,0,0
0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,0
0,1,0,0,0,0,0,9733
0,1,0,0,0,0,1,974
0,1,0,0,0,1,0,131
0,1,0,0,0,1,1,16
0,1,0,0,1,0,0,21
0,1,0,0,1,0,1,2
0,1,0,0,1,1,0,0
0,1,0,0,1,1,1,0
0,1,0,1,0,0,0,47
0,1,0,1,0,0,1,4
0,1,0,1,0,1,0,12
0,1,0,1,0,1,1,1
0,1,0,1,1,0,0,0
0,1,0,1,1,0,1,0
0,1,0,1,1,1,0,0
0,1,0,1,1,1,1,0
0,1,1,0,0,0,0,1619
0,1,1,0,0,0,1,289
0,1,1,0,0,1,0,160
0,1,1,0,0,1,1,23
0,1,1,0,1,0,0,17
0,1,1,0,1,0,1,0
0,1,1,0,1,1,0,1
0,1,1,0,1,1,1,0
0,1,1,1,0,0,0,14
0,1,1,1,0,0,1,4
0,1,1,1,0,1,0,6
0,1,1,1,0,1,1,2
0,1,1,1,1,0,0,0
0,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,18803
1,0,0,0,0,0,1,14279
1,0,0,0,0,1,0,191
1,0,0,0,0,1,1,99
1,0,0,0,1,0,0,45
1,0,0,0,1,0,1,62
1,0,0,0,1,1,0,1
1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,28
1,0,0,1,0,0,1,4
1,0,0,1,0,1,0,5
1,0,0,1,0,1,1,2
1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0
1,0,0,1,1,1,0,0
1,0,0,1,1,1,1,0
1,0,1,0,0,0,0,3548
1,0,1,0,0,0,1,1597
1,0,1,0,0,1,0,304
1,0,1,0,0,1,1,124
1,0,1,0,1,0,0,51
1,0,1,0,1,0,1,62
1,0,1,0,1,1,0,1
1,0,1,0,1,1,1,0
1,0,1,1,0,0,0,31
1,0,1,1,0,0,1,13
1,0,1,1,0,1,0,8
1,0,1,1,0,1,1,5
1,0,1,1,1,0,0,0
1,0,1,1,1,0,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,11680
1,1,0,0,0,0,1,4285
1,1,0,0,0,1,0,309
1,1,0,0,0,1,1,135
1,1,0,0,1,0,0,137
1,1,0,0,1,0,1,32
1,1,0,0,1,1,0,2
1,1,0,0,1,1,1,1
1,1,0,1,0,0,0,20
1,1,0,1,0,0,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,1
1,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,0
1,1,1,0,0,0,0,4172
1,1,1,0,0,0,1,2068
1,1,1,0,0,1,0,471
1,1,1,0,0,1,1,289
1,1,1,0,1,0,0,157
1,1,1,0,1,0,1,47
1,1,1,0,1,1,0,1
1,1,1,0,1,1,1,2
1,1,1,1,0,0,0,21
1,1,1,1,0,0,1,13
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,13
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0
