APCD,BSAS,CaseMix,RVRS Death,RVRS Birth,MATRIS,PMP,Count
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,10682
0,0,0,0,0,1,0,2816
0,0,0,0,0,1,1,123
0,0,0,0,1,0,0,306
0,0,0,0,1,0,1,12
0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,511
0,0,0,1,0,0,1,11
0,0,0,1,0,1,0,96
0,0,0,1,0,1,1,5
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,0
0,0,0,1,1,1,0,0
0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,3012
0,0,1,0,0,0,1,255
0,0,1,0,0,1,0,513
0,0,1,0,0,1,1,44
0,0,1,0,1,0,0,5
0,0,1,0,1,0,1,5
0,0,1,0,1,1,0,0
0,0,1,0,1,1,1,0
0,0,1,1,0,0,0,39
0,0,1,1,0,0,1,2
0,0,1,1,0,1,0,22
0,0,1,1,0,1,1,0
0,0,1,1,1,0,0,0
0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,0
0,1,0,0,0,0,0,4952
0,1,0,0,0,0,1,519
0,1,0,0,0,1,0,54
0,1,0,0,0,1,1,13
0,1,0,0,1,0,0,26
0,1,0,0,1,0,1,1
0,1,0,0,1,1,0,0
0,1,0,0,1,1,1,0
0,1,0,1,0,0,0,10
0,1,0,1,0,0,1,3
0,1,0,1,0,1,0,4
0,1,0,1,0,1,1,1
0,1,0,1,1,0,0,0
0,1,0,1,1,0,1,0
0,1,0,1,1,1,0,1
0,1,0,1,1,1,1,0
0,1,1,0,0,0,0,689
0,1,1,0,0,0,1,207
0,1,1,0,0,1,0,115
0,1,1,0,0,1,1,37
0,1,1,0,1,0,0,3
0,1,1,0,1,0,1,2
0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0
0,1,1,1,0,0,0,9
0,1,1,1,0,0,1,1
0,1,1,1,0,1,0,6
0,1,1,1,0,1,1,1
0,1,1,1,1,0,0,0
0,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,34921
1,0,0,0,0,0,1,17889
1,0,0,0,0,1,0,564
1,0,0,0,0,1,1,205
1,0,0,0,1,0,0,117
1,0,0,0,1,0,1,121
1,0,0,0,1,1,0,1
1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,96
1,0,0,1,0,0,1,36
1,0,0,1,0,1,0,39
1,0,0,1,0,1,1,15
1,0,0,1,1,0,0,1
1,0,0,1,1,0,1,0
1,0,0,1,1,1,0,0
1,0,0,1,1,1,1,0
1,0,1,0,0,0,0,5919
1,0,1,0,0,0,1,1948
1,0,1,0,0,1,0,811
1,0,1,0,0,1,1,245
1,0,1,0,1,0,0,83
1,0,1,0,1,0,1,66
1,0,1,0,1,1,0,0
1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,80
1,0,1,1,0,0,1,6
1,0,1,1,0,1,0,43
1,0,1,1,0,1,1,6
1,0,1,1,1,0,0,1
1,0,1,1,1,0,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,15213
1,1,0,0,0,0,1,4437
1,1,0,0,0,1,0,545
1,1,0,0,0,1,1,277
1,1,0,0,1,0,0,176
1,1,0,0,1,0,1,40
1,1,0,0,1,1,0,6
1,1,0,0,1,1,1,3
1,1,0,1,0,0,0,64
1,1,0,1,0,0,1,23
1,1,0,1,0,1,0,23
1,1,0,1,0,1,1,9
1,1,0,1,1,0,0,2
1,1,0,1,1,0,1,0
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,0
1,1,1,0,0,0,0,5003
1,1,1,0,0,0,1,2066
1,1,1,0,0,1,0,904
1,1,1,0,0,1,1,408
1,1,1,0,1,0,0,136
1,1,1,0,1,0,1,41
1,1,1,0,1,1,0,4
1,1,1,0,1,1,1,4
1,1,1,1,0,0,0,55
1,1,1,1,0,0,1,18
1,1,1,1,0,1,0,36
1,1,1,1,0,1,1,10
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0
