APCD,BSAS,CaseMix,RVRS Death,RVRS Birth,MATRIS,PMP,Count
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,9386
0,0,0,0,0,1,0,3520
0,0,0,0,0,1,1,151
0,0,0,0,1,0,0,367
0,0,0,0,1,0,1,20
0,0,0,0,1,1,0,1
0,0,0,0,1,1,1,0
0,0,0,1,0,0,0,596
0,0,0,1,0,0,1,12
0,0,0,1,0,1,0,139
0,0,0,1,0,1,1,7
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,0
0,0,0,1,1,1,0,0
0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,2256
0,0,1,0,0,0,1,163
0,0,1,0,0,1,0,408
0,0,1,0,0,1,1,21
0,0,1,0,1,0,0,8
0,0,1,0,1,0,1,4
0,0,1,0,1,1,0,0
0,0,1,0,1,1,1,0
0,0,1,1,0,0,0,21
0,0,1,1,0,0,1,1
0,0,1,1,0,1,0,30
0,0,1,1,0,1,1,2
0,0,1,1,1,0,0,1
0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,0
0,1,0,0,0,0,0,3515
0,1,0,0,0,0,1,265
0,1,0,0,0,1,0,83
0,1,0,0,0,1,1,11
0,1,0,0,1,0,0,11
0,1,0,0,1,0,1,3
0,1,0,0,1,1,0,0
0,1,0,0,1,1,1,0
0,1,0,1,0,0,0,27
0,1,0,1,0,0,1,0
0,1,0,1,0,1,0,8
0,1,0,1,0,1,1,1
0,1,0,1,1,0,0,0
0,1,0,1,1,0,1,0
0,1,0,1,1,1,0,0
0,1,0,1,1,1,1,0
0,1,1,0,0,0,0,378
0,1,1,0,0,0,1,76
0,1,1,0,0,1,0,62
0,1,1,0,0,1,1,11
0,1,1,0,1,0,0,4
0,1,1,0,1,0,1,1
0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0
0,1,1,1,0,0,0,8
0,1,1,1,0,0,1,0
0,1,1,1,0,1,0,4
0,1,1,1,0,1,1,2
0,1,1,1,1,0,0,0
0,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,45726
1,0,0,0,0,0,1,21899
1,0,0,0,0,1,0,1032
1,0,0,0,0,1,1,349
1,0,0,0,1,0,0,261
1,0,0,0,1,0,1,190
1,0,0,0,1,1,0,4
1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,128
1,0,0,1,0,0,1,41
1,0,0,1,0,1,0,72
1,0,0,1,0,1,1,21
1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0
1,0,0,1,1,1,0,0
1,0,0,1,1,1,1,0
1,0,1,0,0,0,0,5362
1,0,1,0,0,0,1,1765
1,0,1,0,0,1,0,935
1,0,1,0,0,1,1,295
1,0,1,0,1,0,0,118
1,0,1,0,1,0,1,75
1,0,1,0,1,1,0,5
1,0,1,0,1,1,1,4
1,0,1,1,0,0,0,76
1,0,1,1,0,0,1,17
1,0,1,1,0,1,0,74
1,0,1,1,0,1,1,24
1,0,1,1,1,0,0,0
1,0,1,1,1,0,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,11533
1,1,0,0,0,0,1,4670
1,1,0,0,0,1,0,835
1,1,0,0,0,1,1,380
1,1,0,0,1,0,0,113
1,1,0,0,1,0,1,54
1,1,0,0,1,1,0,12
1,1,0,0,1,1,1,3
1,1,0,1,0,0,0,60
1,1,0,1,0,0,1,19
1,1,0,1,0,1,0,50
1,1,0,1,0,1,1,7
1,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,0
1,1,1,0,0,0,0,3461
1,1,1,0,0,0,1,1809
1,1,1,0,0,1,0,1044
1,1,1,0,0,1,1,549
1,1,1,0,1,0,0,105
1,1,1,0,1,0,1,34
1,1,1,0,1,1,0,8
1,1,1,0,1,1,1,3
1,1,1,1,0,0,0,38
1,1,1,1,0,0,1,17
1,1,1,1,0,1,0,40
1,1,1,1,0,1,1,12
1,1,1,1,1,0,0,1
1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0
